post_id,description,mentions,url,comments,likes,published_at,author,views,like_rate,comment_rate,engagement_rate,category
3675870410516860438,"@tokitoistheone gets his second grass singles Grand Slam, while @nielsvink wins the quad doubles and completes his singles three-peat in London.","['tokitoistheone', 'nielsvink']",https://www.instagram.com/p/DMDUKmrOg4W/,126,42088,2025-07-13 14:45:21+00:00,nike,0,0.0,0.0,0.0,"{'sequence': '@tokitoistheone gets his second grass singles Grand Slam, while @nielsvink wins the quad doubles and completes his singles three-peat in London.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.7505885362625122, 0.10963855683803558, 0.08269857615232468, 0.05707433074712753]}"
3693964288135088212,"The choice is yours. No matter what, you’re running more.

Run in the all-new Pegasus, Vomero and Structure out now.",[],https://www.instagram.com/p/DNDmPLXRUhU/,439,24093,2025-08-07 14:00:06+00:00,nike,1722923,0.01398379382015331,0.00025479954704882345,0.014238593367202132,"{'sequence': 'The choice is yours. No matter what, you’re running more.\n\nRun in the all-new Pegasus, Vomero and Structure out now.', 'labels': ['Product Spotlight', 'Athlete Feature', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.35821789503097534, 0.3513655364513397, 0.16412852704524994, 0.1262880265712738]}"
3675981152700448655,"Champions hit back harder.

@janniksin rules the grass in London and makes it four Grand Slams.",['janniksin'],https://www.instagram.com/p/DMDtWHXvb-P/,1234,254100,2025-07-13 18:25:23+00:00,nike,0,0.0,0.0,0.0,"{'sequence': 'Champions hit back harder.\n\n@janniksin rules the grass in London and makes it four Grand Slams.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.6813438534736633, 0.16285862028598785, 0.08639750629663467, 0.06939999759197235]}"
3688229432851055439,Make a statement. Air Max Muse.,[],https://www.instagram.com/p/DMvOSDLOkNP/,489,52558,2025-07-30 16:00:32+00:00,nike,0,0.0,0.0,0.0,"{'sequence': 'Make a statement. Air Max Muse.', 'labels': ['Product Spotlight', 'Athlete Feature', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.42663514614105225, 0.3318703770637512, 0.18755893409252167, 0.05393557995557785]}"
3683825198978939619,"Hoopers get your hard hats. It’s time to go to work. 

The Sabrina 3 ‘Blueprint’ is available now.",[],https://www.instagram.com/p/DMfk4Avxbrj/,414,32413,2025-07-24 14:10:44+00:00,nike,3887265,0.008338253244890688,0.00010650161488861706,0.008444754859779306,"{'sequence': 'Hoopers get your hard hats. It’s time to go to work. \n\nThe Sabrina 3 ‘Blueprint’ is available now.', 'labels': ['Product Spotlight', 'Athlete Feature', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.5647339224815369, 0.21270789206027985, 0.11906043440103531, 0.10349776595830917]}"
3681033624007514148,"Priorities unchanged. Another major secured.

The wins keep coming on and off the course for @scottie.scheffler",['scottie.scheffler'],https://www.instagram.com/p/DMVqJP9PJgk/,1339,464622,2025-07-20 17:43:44+00:00,nike,0,0.0,0.0,0.0,"{'sequence': 'Priorities unchanged. Another major secured.\n\nThe wins keep coming on and off the course for @scottie.scheffler', 'labels': ['Athlete Feature', 'Product Spotlight', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.812746524810791, 0.11537086963653564, 0.042495351284742355, 0.02938719466328621]}"
3689444325409807924,Mo 🤝 Flo,[],https://www.instagram.com/p/DMzihECod40/,1787,422943,2025-08-01 08:14:18+00:00,liverpoolfc,0,0.0,0.0,0.0,"{'sequence': 'Mo 🤝 Flo', 'labels': ['Athlete Feature', 'Lifestyle and Culture', 'Product Spotlight', 'Training and Fitness Tips'], 'scores': [0.5580745339393616, 0.2021060585975647, 0.14777778089046478, 0.09204169362783432]}"
3670322530445137088,"Thought @faithkipyegon was finished? 

Only one week after she ran the fastest women’s mile ever at Breaking4, she’s broken her own 1500m World Record at the Pre Classic.

What will you dream up next, Faith?",['faithkipyegon'],https://www.instagram.com/p/DLvmuUuS5TA/,339,83867,2025-07-05 23:02:43+00:00,nike,0,0.0,0.0,0.0,"{'sequence': 'Thought @faithkipyegon was finished? \n\nOnly one week after she ran the fastest women’s mile ever at Breaking4, she’s broken her own 1500m World Record at the Pre Classic.\n\nWhat will you dream up next, Faith?', 'labels': ['Athlete Feature', 'Training and Fitness Tips', 'Product Spotlight', 'Lifestyle and Culture'], 'scores': [0.67864590883255, 0.13063713908195496, 0.10200466215610504, 0.08871227502822876]}"
3665347377944329584,"Distance: 100.2 miles (161.3 km)
Elevation gain: 18,000 ft (5,486 m)
Time: 14:11:25 

No shortcuts to number 1.

Congrats @calebolson123 on the Western States Endurance Run win.",['calebolson123'],https://www.instagram.com/p/DLd7gU4x_1w/,383,53968,2025-06-29 02:17:58+00:00,nike,0,0.0,0.0,0.0,"{'sequence': 'Distance: 100.2 miles (161.3 km)\nElevation gain: 18,000 ft (5,486 m)\nTime: 14:11:25 \n\nNo shortcuts to number 1.\n\nCongrats @calebolson123 on the Western States Endurance Run win.', 'labels': ['Athlete Feature', 'Training and Fitness Tips', 'Product Spotlight', 'Lifestyle and Culture'], 'scores': [0.6744756698608398, 0.12651605904102325, 0.1232539489865303, 0.07575429975986481]}"
3687505371712513776,Dare to dream. All episodes of Breaking4 are now streaming.,[],https://www.instagram.com/p/DMsppksRObw/,229,16678,2025-07-29 16:02:17+00:00,primevideo,1983309,0.0084091788016895,0.0001154636014862031,0.008524642403175704,"{'sequence': 'Dare to dream. All episodes of Breaking4 are now streaming.', 'labels': ['Lifestyle and Culture', 'Athlete Feature', 'Product Spotlight', 'Training and Fitness Tips'], 'scores': [0.37995386123657227, 0.2397470325231552, 0.23653975129127502, 0.1437593549489975]}"
